slice_x_cm,run,mean_y_cm,std_y_cm,n_samples
5.0,run_1_v0,11.466112631460538,0.6741401836065157,146
5.0,run_2_impact,11.454966228964857,0.7320156327594497,145
10.0,run_1_v0,11.404906675458777,1.2708780186720607,146
10.0,run_2_impact,11.430809261366232,1.2289289673847699,145
15.0,run_1_v0,11.349169329936927,1.798734777964597,146
15.0,run_2_impact,11.422309169622979,1.732452125687134,145
